"ginc" "height" "age" "length" "mar" "sex" "german" "alevel"
4028 176 44 23 1 0 1 1
3704 180 43 4.3 1 0 1 1
1085 170 55 13.1 1 1 0 0
4857 185 50 15 1 0 1 1
1881 175 32 7.8 1 1 1 0
1421 160 42 1.3 1 1 1 0
1611 174 45 3.8 1 0 1 0
1891 165 37 11.4 1 1 1 1
2365 174 54 36 1 0 1 0
2564 172 60 35.9 0 0 1 0
550 168 51 14.5 0 0 1 0
6004 185 59 11.3 1 0 1 1
5079 187 40 8.7 1 0 1 1
1595 180 56 37 1 0 1 1
1770 182 30 8.3 0 0 1 0
2319 184 29 1.4 0 0 1 0
2555 181 45 4.7 1 0 1 0
2065 170 46 16.5 1 0 1 0
1919 186 40 15.8 0 0 1 0
2098 170 33 5.2 0 1 1 1
3063 162 54 12.2 1 1 1 0
2847 176 44 26.3 1 0 1 0
3087 164 41 21.4 0 1 1 0
4923 170 54 1.1 1 0 1 0
1741 170 55 3.7 1 1 1 1
1992 178 40 12.5 1 1 1 0
2484 180 30 5.8 1 0 1 1
1362 168 54 5.5 0 1 1 0
1531 168 26 3.3 1 1 0 1
1772 155 54 7.8 1 1 1 1
2493 178 41 11 0 0 1 0
3807 168 55 13.2 0 1 1 1
2965 186 33 2 0 0 1 0
988 163 47 0.2 1 1 1 0
784 172 53 0.8 0 1 1 0
5024 178 41 22 0 0 1 0
1227 180 48 11.5 1 0 1 0
2343 169 46 26.1 1 1 0 0
1184 170 33 2.9 1 1 1 0
2228 174 43 9.5 1 1 1 0
2502 183 34 5.7 0 0 1 0
2298 190 24 1.1 0 0 1 0
2517 182 42 23 1 0 0 1
2651 180 40 15.8 1 0 1 0
1338 155 55 22 1 1 0 0
2650 172 41 15.5 1 0 1 0
1294 172 58 17.5 1 0 1 0
4490 182 46 19.6 1 0 1 1
1786 164 29 1.3 0 1 1 1
1523 183 35 0.3 1 0 0 1
1327 172 31 0.7 1 1 1 0
858 163 28 4.8 1 1 1 0
2572 187 39 22.5 1 0 1 0
1843 175 49 5.8 1 0 1 0
1468 164 33 6.7 1 1 1 0
1292 161 48 9.4 1 1 1 0
4035 178 45 12.8 0 0 1 1
2631 170 33 0.6 1 0 1 0
1794 178 54 0.8 1 0 1 0
3190 175 35 1 0 1 1 1
3109 189 33 8.1 0 0 1 1
2985 172 24 4 0 1 1 0
3770 184 47 16.6 1 0 1 1
1664 178 37 2.8 1 0 1 0
2145 182 25 0 0 0 0 0
1258 172 56 23 1 1 1 0
2003 180 39 2.8 1 0 1 0
3265 178 40 20 1 0 1 0
1541 148 31 9.5 1 1 1 0
2516 188 30 10 0 0 1 0
1219 166 34 6.3 0 1 1 1
2616 176 32 0.1 0 0 1 1
2407 185 31 4.9 1 0 1 0
2355 167 47 10.3 1 0 1 1
2294 182 23 1.7 0 0 1 0
1992 181 40 21 1 0 1 0
3031 178 34 14 1 0 1 0
5035 177 46 8.1 0 0 1 1
810 157 37 1.6 1 1 1 0
1741 158 32 3.6 1 1 1 0
1860 168 42 1.8 1 1 1 1
2511 172 36 11.3 0 1 1 0
2680 164 49 6.7 1 1 1 1
607 163 55 6.8 1 1 1 1
2762 172 46 1.6 1 0 1 0
2735 172 49 1.9 1 1 1 0
2045 165 41 12.5 1 1 1 0
2276 163 29 7.5 1 1 1 1
2666 179 52 20 1 0 1 0
3654 188 46 8.3 1 0 1 1
1797 160 39 18.8 1 1 1 0
1364 183 49 12 1 0 1 0
2248 178 25 5 0 0 1 0
2372 172 36 10.8 1 0 1 0
1363 172 45 15.3 1 0 0 0
1471 170 49 10.3 1 1 1 0
6727 197 41 3.8 1 0 1 1
2793 180 38 11.8 0 0 1 0
2155 170 61 31.3 1 0 1 0
1721 165 41 1.7 0 1 1 0
1803 180 22 0.3 0 0 0 0
873 162 31 7.8 0 1 1 0
2004 178 25 4 0 0 0 0
2200 165 44 9.1 1 1 1 1
2293 156 46 1.3 1 1 1 0
2527 167 49 2.8 1 1 1 1
419 172 72 9.8 1 1 1 0
2415 178 40 0.4 0 0 1 0
2072 183 51 6.5 1 0 1 0
989 172 50 8.3 1 1 1 1
2435 168 34 11.8 1 0 0 0
398 168 50 26.3 1 1 1 0
1972 188 38 16.2 1 0 1 0
1626 175 51 7.6 0 0 0 0
1636 180 34 0.8 1 0 1 0
2713 176 35 4.6 0 1 1 1
3503 166 38 13.9 0 0 1 0
1782 182 41 9.3 1 0 1 0
4056 176 42 3.5 0 0 1 1
903 167 35 0.4 1 1 1 0
1102 155 47 3.1 1 1 1 0
1266 158 42 11.9 0 1 1 1
2221 165 55 28.8 1 0 0 0
2869 170 37 9.6 0 1 1 0
1055 164 38 2.5 1 1 1 0
474 158 53 0.8 1 1 1 0
1002 183 21 0.2 0 0 1 0
2168 177 42 2.3 1 0 1 0
2289 164 53 25.4 0 1 0 0
2112 173 24 3.5 0 1 1 1
2263 165 24 3 0 1 1 0
2806 179 31 7.3 0 0 1 0
1390 169 21 0.5 0 1 1 0
1562 167 33 7.5 1 1 1 0
2355 165 25 7.6 0 1 1 0
2476 178 41 5.8 1 0 1 0
3963 172 37 1.8 1 0 1 1
2843 166 41 4.6 0 1 0 0
2081 159 44 24.4 0 1 1 1
1529 168 49 18.4 1 1 1 1
922 161 41 0.1 0 1 1 0
4790 176 51 28 1 0 1 1
3665 172 31 10 0 0 1 0
1588 183 48 22.8 1 0 1 0
6515 179 38 9.8 1 0 1 1
5022 178 64 16.5 1 0 1 0
2867 176 45 22.5 1 0 0 0
1211 175 42 8.4 1 1 1 0
1228 180 25 0 0 1 1 1
3095 164 44 24 0 1 1 0
4764 170 49 3.1 0 1 1 1
2288 163 52 1.2 0 1 1 1
1820 170 33 4.8 1 1 1 0
1785 178 60 26.8 1 0 1 0
2487 179 36 2.3 1 0 1 1
2086 184 27 5.9 0 0 1 0
2081 192 25 0.7 0 0 1 0
5049 172 38 18.8 1 0 1 0
1549 165 37 3.3 1 1 1 0
1628 171 35 3.4 0 1 1 0
1051 160 42 22 1 1 1 0
1560 165 46 14.6 1 1 1 0
1359 178 25 2.9 0 1 1 0
3059 180 54 11 1 0 1 0
2111 189 53 31.7 1 0 1 0
3110 167 35 12.1 0 1 1 0
2902 173 41 10.3 0 0 1 1
2202 176 51 11.3 1 0 1 0
948 161 26 1 0 1 1 1
4134 186 34 8.1 0 0 1 0
1079 150 51 0.7 0 1 1 0
1797 178 25 7.5 0 0 1 0
2700 176 39 1.4 1 0 1 1
2487 175 40 8.7 1 1 1 1
2313 162 54 11.8 1 1 1 0
1326 178 31 4 1 0 0 0
